title,description,challenge_type,points_reward,start_date,end_date,target_metric,target_value,is_active
Kanyama Clean December,Transform Kanyama compound through community-wide cleanup efforts,community,200,2024-12-01,2024-12-31,reports_submitted,100,1
Kalingalinga Plastic-Free Month,Reduce plastic waste in Kalingalinga compound,community,180,2024-12-01,2024-12-31,reports_submitted,75,1
Chawama Cleanup Week,Intensive one-week cleanup campaign in Chawama,community,150,2024-12-15,2024-12-22,reports_submitted,50,1
Lusaka E-Waste Drive,Collect electronic waste across all Lusaka compounds,district,250,2024-12-01,2024-12-31,reports_submitted,200,1
Individual Recycling Champion,Complete recycling modules and practice daily,individual,120,2024-12-01,2024-12-31,modules_completed,8,1
Compound Green Initiative,Multi-compound environmental improvement project,community,220,2024-12-10,2024-12-31,reports_submitted,80,1
Youth Eco Leaders Program,Youth under 25 complete environmental training,individual,180,2024-12-01,2024-12-31,modules_completed,10,1
Market Cleanup Campaign,Clean up Soweto Kamwala and City Markets,community,200,2024-12-01,2024-12-31,reports_submitted,60,1
Home Composting Challenge,Learn and practice composting at home,individual,140,2024-12-01,2024-12-31,modules_completed,6,1
Drainage Clearing Project,Clear blocked drains in Kanyama and Kalingalinga,community,190,2024-12-01,2024-12-31,reports_submitted,70,1
