title,slug,module_id,content_type,duration_minutes,order,is_published,is_required,content
Waste Crisis in Lusaka Compounds,waste-crisis-compounds,1,text,15,1,1,1,Kalingalinga Kanyama and Chawama face serious waste challenges. Over 1200 tons of waste generated daily in Lusaka needs proper management.
Identifying Waste Types in Markets,identifying-waste-types,1,text,20,2,1,1,From Kamwala Market to Soweto Market learn to identify organic waste plastics metals paper and hazardous materials in your community.
The Plastic Problem in Kanyama,plastic-problem-kanyama,2,video,25,3,1,1,Plastic bottles and bags clog drains in Kanyama compound. Learn why this is dangerous and what solutions exist.
Household Waste Sorting Guide,household-sorting-guide,1,text,15,4,1,1,Start with 2 bins at home wet waste (food scraps) and dry waste (plastics paper). Simple sorting saves lives.
Where to Recycle in Lusaka,where-recycle-lusaka,2,text,20,5,1,1,Recycling centers near you Chunga Recycling in Makeni Green Planet in Chelston and collection points in Kalingalinga.
E-Waste Hazards and Solutions,e-waste-hazards,3,video,30,6,1,1,Old phones and batteries contain lead and mercury. Learn safe disposal methods to protect Chawama and Kalingalinga residents.
Planning a Compound Cleanup,planning-compound-cleanup,4,text,25,7,1,1,Step-by-step guide mobilize neighbors get tools coordinate with Lusaka City Council and execute successful cleanups in your compound.
Kitchen Waste to Garden Gold,kitchen-waste-composting,5,text,20,8,1,1,Nshima leftovers vegetable peels fruit waste turn them into rich compost for your garden using simple techniques.
Engaging Neighbors in Waste Management,engaging-neighbors,4,text,15,9,1,1,How to talk to your neighbors in Kanyama or Chawama about proper waste disposal without causing conflict.
Reporting Illegal Dumping Sites,reporting-illegal-dumping,1,text,10,10,1,1,Use your phone to report illegal dumps to Lusaka City Council. Include photos and location for faster response.
